id,name,club,year
244940,Salih Özcan,3,2020
272812,Kingsley Ehizibue,3,2020
280575,Elvis Rexhbecaj,3,2020
286779,Jorge Meré,3,2020
290587,Ellyes Skhiri,3,2020
324344,Dimitrios Limnios,3,2020
337082,Julian Krahl,3,2020
338629,Sebastiaan Bornauw,3,2020
375137,Ismail Jakobs,3,2020
415642,João Queirós,3,2020
448854,Emmanuel Dennis,3,2020
452392,Robert Voloder,3,2020
464906,Sava-Arangel Cestic,3,2020
469949,Noah Katterbach,3,2020
472249,Jan Thielmann,3,2020
522084,Marvin Obuz,3,2020
553285,Tim Lemperle,3,2020
613192,Jens Castrop,3,2020
683571,Tolu Arokodare,3,2020
44713,Christian Clemens,3,2020
50512,Anthony Modeste,3,2020
91716,Frederik Sörensen,3,2020
185245,Jhon Córdoba,3,2020
8246,Philipp Pentke,533,2020
42234,Håvard Nordtveit,533,2020
46580,Andrej Kramaric,533,2020
51676,Ermin Bicakcic,533,2020
52348,Benjamin Hübner,533,2020
55089,Oliver Baumann,533,2020
57051,Sebastian Rudy,533,2020
84435,Kevin Vogt,533,2020
111039,Ishak Belfodil,533,2020
125614,Sargis Adamyan,533,2020
143798,Pavel Kaderabek,533,2020
145866,Munas Dabbur,533,2020
148967,Konstantinos Stafylidis,533,2020
160241,Kevin Akpoguma,533,2020
195736,Florian Grillitsch,533,2020
207006,Joshua Brenet,533,2020
215864,Mijat Gacinovic,533,2020
223974,Stefan Posch,533,2020
237164,Ihlas Bebou,533,2020
251309,Dennis Geiger,533,2020
263801,Kasim Adams,533,2020
270393,Robert Skov,533,2020
315604,Diadié Samassékou,533,2020
324278,Christoph Baumgartner,533,2020
392775,Ryan Sessegnon,533,2020
432671,Luca Philipp,533,2020
450234,Marco John,533,2020
476915,Melayro Bogarde,533,2020
538977,Georginio Rutter,533,2020
578392,Maximilian Beier,533,2020
578539,Chris Richards,533,2020
293281,Jacob Bruun Larsen,533,2020
296340,Alfons Amade,533,2020
471890,Max Geschwill,533,2020
498862,João Klauss,533,2020
523913,Gabriel Haider,533,2020
600942,Nahuel Noll,533,2020
5017,Niklas Moisander,86,2020
42033,Philipp Bargfrede,86,2020
43512,Ömer Toprak,86,2020
58396,Christian Groß,86,2020
60632,Theodor Gebre Selassie,86,2020
75489,Niclas Füllkrug,86,2020
93844,Leonardo Bittencourt,86,2020
94137,Kevin Möhwald,86,2020
108650,Yuya Osako,86,2020
156990,Marco Friedl,86,2020
170646,Ludwig Augustinsson,86,2020
178459,Davie Selke,86,2020
190284,Maximilian Eggestein,86,2020
193859,Patrick Erras,86,2020
196813,Michael Zetterer,86,2020
202228,Milos Veljkovic,86,2020
260053,Jiri Pavlenka,86,2020
291739,Milot Rashica,86,2020
335003,Jean Manuel Mbom,86,2020
335997,Luca Plogmann,86,2020
346853,Romano Schmid,86,2020
369258,Dudu,86,2020
381753,Ilia Gruev,86,2020
393325,Josh Sargent,86,2020
393512,Felix Agu,86,2020
455661,Nick Woltemade,86,2020
455933,Oscar Schönfelder,86,2020
645774,Eren Dinkçi,86,2020
68410,Stefanos Kapino,86,2020
182932,Davy Klaassen,86,2020
251303,Johannes Eggestein,86,2020
344830,Tahith Chong,86,2020
380078,Julian Rieckmann,86,2020
40792,Manuel Riemann,80,2020
41458,Robert Tesche,80,2020
41541,Danny Blum,80,2020
63489,Vasilios Lampropoulos,80,2020
79967,Simon Zoller,80,2020
86643,Thomas Eisfeld,80,2020
93837,Tom Weilandt,80,2020
94192,Patrick Drewes,80,2020
111266,Anthony Losilla,80,2020
121686,Cristian Gamboa,80,2020
122676,Robert Zulj,80,2020
148824,Soma Novothny,80,2020
154396,Danilo Soares,80,2020
154578,Saulo Decarli,80,2020
186477,Herbert Bockhorn,80,2020
190289,Gerrit Holtmann,80,2020
199633,Raman Chibsah,80,2020
232144,Miloš Pantović,80,2020
283140,Tarsis Bonga,80,2020
312819,Silvere Ganvoula,80,2020
334207,Maxim Leitsch,80,2020
343959,Erhan Masovic,80,2020
383223,Baris Ekincier,80,2020
452192,Paul Grave,80,2020
467563,Armel Bella-Kotchap,80,2020
571140,Luis Hartwig,80,2020
126285,Sebastian Maier,80,2020
270171,Vitaly Janelt,80,2020
452222,Moritz Römling,80,2020
452224,Lars Holtkamp,80,2020
696165,Verthomy Boboy,80,2020
34542,Marek Suchy,167,2020
38410,Daniel Caligiuri,167,2020
42783,André Hahn,167,2020
57845,Tobias Strobl,167,2020
58124,Julian Schieber,167,2020
63022,Jan Moravek,167,2020
78339,Rafal Gikiewicz,167,2020
90024,Alfred Finnbogason,167,2020
106405,Jeffrey Gouweleeuw,167,2020
120205,Michael Gregoritsch,167,2020
124410,Rani Khedira,167,2020
146163,Raphael Framberger,167,2020
146714,Tomas Koubek,167,2020
152963,Florian Niederlechner,167,2020
189475,Carlos Gruezo,167,2020
243188,László Bénes,167,2020
249157,Fredrik Jensen,167,2020
278343,Felix Uduokhai,167,2020
279009,Marco Richter,167,2020
283001,Noah Joel Sarenren Bazee,167,2020
288429,Mads Pedersen,167,2020
314295,Reece Oxford,167,2020
345886,Rubén Vargas,167,2020
353826,Robert Gumny,167,2020
381250,Benjamin Leneis,167,2020
401639,Lukas Petkov,167,2020
520468,Iago,167,2020
588747,Tim Civeja,167,2020
330635,Felix Götze,167,2020
545503,Seong-hoon Cheon,167,2020
596186,Dion Berisha,167,2020
28947,Gonzalo Castro,79,2020
40034,Jens Grahl,79,2020
57995,Daniel Didavi,79,2020
60394,Philipp Klement,79,2020
129358,Marcin Kaminski,79,2020
146310,Wataru Endo,79,2020
156779,Erik Thommy,79,2020
160938,Marc Oliver Kempf,79,2020
179635,Philipp Förster,79,2020
187624,Fabian Bredlow,79,2020
