id,name,club,joined,year
7427,Ivica Olic,82,1341093600,2014
48164,Slobodan Medojevic,82,1325458800,2014
92738,Mateusz Klich,82,1404165600,2014
129593,Junior Malanda,82,1375221600,2014
1139,Nikolce Noveski,39,1088632800,2014
7161,Jonas Hofmann,39,1409522400,2014
30070,Niko Bungert,39,1214863200,2014
34787,Julian Baumgartlinger,39,1309471200,2014
35383,Júnior Díaz,39,1341525600,2014
37013,Sami Allagui,39,1409436000,2014
40429,Gonzalo Jara,39,1405461600,2014
40937,Elkin Soto,39,1170198000,2014
43984,Daniel Brosinski,39,1404338400,2014
44713,Christian Clemens,39,1420498800,2014
50577,Pierre Neurath Bengtsson,39,1420066800,2014
55519,Christoph Moritz,39,1372629600,2014
68410,Stefanos Kapino,39,1405461600,2014
75446,Pablo de Blasis,39,1409436000,2014
79642,Shinji Okazaki,39,1372629600,2014
82350,Stefan Bell,39,1277935200,2014
85352,Yunus Mallı,39,1309471200,2014
85864,Loris Karius,39,1325372400,2014
89650,Johannes Geis,39,1372629600,2014
91841,Ja-cheol Koo,39,1389999600,2014
93552,Benedikt Saller,39,1388530800,2014
111900,Ju-ho Park,39,1374012000,2014
145602,Nicolás Castillo,39,1422399600,2014
153198,Damian Roßbach,39,1404165600,2014
159522,Patrick Pflücke,39,1404165600,2014
160963,Robin Zentner,39,1404165600,2014
171167,Jairo Samperio,39,1409263200,2014
196836,Devante Parker,39,1404165600,2014
217593,Todor Nedelev,39,1388530800,2014
15045,Niki Zimling,39,1359068400,2014
53173,Philipp Wollscheid,39,1409522400,2014
53534,Julian Koch,39,1372629600,2014
60957,Sebastian Polter,39,1372629600,2014
82367,Petar Sliskovic,39,1404165600,2014
94307,Filip Djuricic,39,1406066400,2014
153184,Fabian Kalig,39,False,2014
568,Martin Stranzl,18,1293836400,2014
837,Thorben Marx,18,1246399200,2014
1144,Christofer Heimeroth,18,1151704800,2014
4607,Roel Brouwers,18,1183240800,2014
7028,Filip Daems,18,1106175600,2014
19305,Oscar Wendt,18,1309471200,2014
19819,Raffael,18,1372629600,2014
31041,Fabian Johnson,18,1404165600,2014
32711,Patrick Herrmann,18,1262300400,2014
36182,Max Kruse,18,1372629600,2014
42205,Yann Sommer,18,1404165600,2014
42234,Håvard Nordtveit,18,1293836400,2014
42783,André Hahn,18,1404165600,2014
47285,Ibrahima Traoré,18,1404165600,2014
47587,Tony Jantschke,18,1246399200,2014
62915,Álvaro Domínguez,18,1341093600,2014
77809,Julian Korb,18,1309471200,2014
81173,Janis Blaswich,18,1309471200,2014
82097,Christoph Kramer,18,1372629600,2014
102226,Thorgan Hazard,18,1404511200,2014
111455,Granit Xhaka,18,1341093600,2014
146165,Nico Brandenburger,18,1372629600,2014
151636,Marlon Ritter,18,1404165600,2014
152641,Bilal Sezer,18,False,2014
168678,Marvin Schulz,18,1404165600,2014
171209,Branimir Hrgota,18,1341352800,2014
191422,Mahmoud Dahoud,18,1372629600,2014
1126,Matthias Lehmann,3,1341093600,2014
5072,Thomas Kessler,3,1167606000,2014
6322,Patrick Helmes,3,1378072800,2014
13686,Thomas Bröker,3,1341093600,2014
15300,Miso Brecko,3,1214863200,2014
16565,Daniel Halfar,3,1373320800,2014
16956,Slawomir Peszko,3,1404165600,2014
34543,Dusan Svento,3,1404165600,2014
38267,Mergim Mavraj,3,1404165600,2014
41023,Dominic Maroh,3,1341093600,2014
51176,Marcel Risse,3,1372629600,2014
52830,Adam Matuszczyk,3,1262300400,2014
84435,Kevin Vogt,3,1404165600,2014
84938,Timo Horn,3,1309471200,2014
108537,Jonas Hector,3,1341093600,2014
108650,Yuya Osako,3,1404165600,2014
117469,Pawel Olkowski,3,1404165600,2014
119277,Yannick Gerhardt,3,1372629600,2014
122675,Kevin Wimmer,3,1341093600,2014
142281,Anthony Ujah,3,1373234400,2014
150080,Daniel Mesenhöler,3,1404165600,2014
202925,Bård Finne,3,1388530800,2014
243541,Deyverson,3,1422831600,2014
263685,Kazuki Nagasawa,3,1388530800,2014
79967,Simon Zoller,3,1404165600,2014
148657,Tomas Kalas,3,1404165600,2014
232376,Lucas Cueto,3,False,2014
6791,Kai Herdling,533,1372629600,2014
10329,Alexander Stolz,533,1377036000,2014
14533,Pirmin Schwegler,533,1404165600,2014
19548,Eugen Polanski,533,1359068400,2014
31182,Andreas Beck,533,1215122400,2014
37287,Tarik Elyounoussi,533,1372629600,2014
39106,Ádám Szalai,533,1404424800,2014
40034,Jens Grahl,533,1246399200,2014
50512,Anthony Modeste,533,1373320800,2014
51676,Ermin Bicakcic,533,1404165600,2014
52530,Sven Schipplock,533,1309471200,2014
55089,Oliver Baumann,533,1404165600,2014
57051,Sebastian Rudy,533,1282600800,2014
57845,Tobias Strobl,533,1372629600,2014
58178,David Abraham,533,1358809200,2014
68033,Steven Zuber,533,1407967200,2014
82009,Kevin Volland,533,1294873200,2014
129674,Jeremy Toljan,533,1372629600,2014
131789,Roberto Firmino,533,1293836400,2014
132529,Jin-su Kim,533,1404165600,2014
160241,Kevin Akpoguma,533,1372629600,2014
160929,Marvin Schwäbe,533,1404165600,2014
166601,Niklas Süle,533,1372629600,2014
177779,Janik Haberer,533,1404165600,2014
232454,Nadiem Amiri,533,1406844000,2014
9354,Sejad Salihovic,533,1152655200,2014
63833,Jiloan Hamad,533,1388530800,2014
99331,Jannik Vestergaard,533,1309471200,2014
185427,Nicolai Rapp,533,False,2014
234029,Grischa Prömel,533,False,2014
1277,Clemens Fritz,86,1151704800,2014
14882,Cédric Makiadi,86,1372629600,2014
31007,Zlatko Junuzovic,86,1327618800,2014
31910,Felix Kroos,86,1277935200,2014
32618,Assani Lukimya,86,1341093600,2014
36207,Fin Bartels,86,1404165600,2014
37981,Sebastian Prödl,86,1214863200,2014
39306,Raphael Wolf,86,1341093600,2014
42033,Philipp Bargfrede,86,1246399200,2014
59783,Franco Di Santo,86,1376431200,2014
60632,Theodor Gebre Selassie,86,1341093600,2014
74996,Izet Hajrovic,86,1404943200,2014
83256,Özkan Yıldırım,86,1309471200,2014
88680,Luca Caldirola,86,1372716000,2014
89542,Janek Sternberg,86,False,2014
90489,Santiago García,86,1404165600,2014
99331,Jannik Vestergaard,86,1422313200,2014
108880,Koen Casteels,86,1421881200,2014
117476,Levent Ayçiçek,86,1341093600,2014
117478,Marnon Busch,86,1409176800,2014
117484,Julian von Haacke,86,1389049200,2014
128488,Alejandro Gálvez,86,1404165600,2014
143121,Melvyn Lorenzen,86,False,2014
153628,Lukas Fröde,86,False,2014
160742,Raif Husic,86,1404165600,2014
168543,Levin Öztunali,86,1420066800,2014
178459,Davie Selke,86,1404165600,2014
190284,Maximilian Eggestein,86,False,2014
196813,Michael Zetterer,86,1422313200,2014
12106,Ludovic Obraniak,86,1391122800,2014
27805,Eljero Elia,86,1341871200,2014
42936,Nils Petersen,86,1372629600,2014
93768,Richard Strebinger,86,1341093600,2014
93853,Martin Kobylanski,86,1389049200,2014
109436,Oliver Hüsing,86,1404165600,2014
139278,Luca Zander,86,False,2014
1496,Heiko Butscher,80,1372629600,2014
3127,Mikael Forssell,80,1409263200,2014
20444,Tobias Weis,80,1409522400,2014
28775,Stanislav Sestak,80,1406152800,2014
32964,Piotr Cwielong,80,1372629600,2014
33729,Stefano Celozzi,80,1405288800,2014
36284,Simon Terodde,80,1404165600,2014
39025,Danny Latza,80,1373148000,2014
39083,Felix Bastians,80,1416178800,2014
41319,Patrick Fabian,80,1183240800,2014
41323,Andreas Luthe,80,1246399200,2014
42086,Timo Perthel,80,1404165600,2014
56360,Jan Simunek,80,1404165600,2014
61989,Michael Esser,80,1277935200,2014
67869,Marco Terrazzino,80,1404165600,2014
78947,Adnan Zahirovic,80,1375221600,2014
79486,Yusuke Tasaka,80,1343080800,2014
86643,Thomas Eisfeld,80,1422831600,2014
111266,Anthony Losilla,80,1404165600,2014
119034,Felix Dornebusch,80,1372629600,2014
120205,Michael Gregoritsch,80,1404165600,2014
123558,Malcolm Cacutalua,80,1409090400,2014
152733,Onur Bulut,80,1341093600,2014
152781,Selim Gündüz,80,1341093600,2014
155583,Joel Reinholz,80,1372629600,2014
182753,Henrik Gulden,80,1404165600,2014
182758,Julian Stock,80,1404165600,2014
192840,Jan Gyamerah,80,1372629600,2014
192841,Fabian Holthaus,80,1372629600,2014
272803,Nicolas Abdat,80,1420066800,2014
107989,Ridvan Balci,80,False,2014
158058,Gazi Siala,80,False,2014
308356,Michaël Maria,80,False,2014
1791,Halil Altıntop,167,1372629600,2014
1986,Markus Feulner,167,1404165600,2014
3851,Jan-Ingwer Callsen-Bracker,167,1293836400,2014
4018,Daniel Baier,167,1264892400,2014
4208,Dominik Reinhardt,167,1277935200,2014
5278,Alexander Manninger,167,1353452400,2014
14977,Christoph Janker,167,1422572400,2014
17689,Sascha Mölders,167,1309471200,2014
18021,Paul Verhaegh,167,1277935200,2014
26669,Ragnar Klavan,167,1341180000,2014
26878,Tobias Werner,167,1214863200,2014
45662,Alexander Esswein,167,1388790000,2014
46162,Nikola Djurdjic,167,1404338400,2014
50303,Tim Matavz,167,1404424800,2014
51356,Raúl Bobadilla,167,1376517600,2014
54137,Caiuby,167,1405029600,2014
59238,Marwin Hitz,167,1372629600,2014
63022,Jan Moravek,167,1341093600,2014
89659,Shawn Parker,167,1404165600,2014
111277,Tim Rieder,167,1404165600,2014
118847,Dominik Kohr,167,1389567600,2014
126638,Jeong-ho Hong,167,1377986400,2014
146163,Raphael Framberger,167,1420066800,2014
156676,Ioannis Gelios,167,1309471200,2014
156730,Arif Ekin,167,1372629600,2014
156781,Maik Uhde,167,1372629600,2014
164265,Dong-won Ji,167,1420066800,2014
167799,Pierre-Emile Højbjerg,167,1420585200,2014
168186,Marco Schuster,167,1404165600,2014
202838,Max Reinthaler,167,1405980000,2014
224884,Abdul Rahman Baba,167,1407794400,2014
16968,Marcel de Jong,167,1277935200,2014
60026,Ronny Philp,167,1341093600,2014
156779,Erik Thommy,167,1390950000,2014
238541,Bastian Kurz,167,False,2014
17885,Karim Haggui,79,1378072800,2014
19112,Christian Gentner,79,1277935200,2014
20276,Florian Klein,79,1404165600,2014
21175,Vedad Ibisevic,79,1327446000,2014
31159,Martin Harnik,79,1277935200,2014
31570,Georg Niedermeier,79,1277935200,2014
38346,Thorsten Kirschbaum,79,1372629600,2014
38434,Daniel Schwaab,79,1372629600,2014
